wavelength,Back_SpoBoof,Belly_SpoBoof,Breast_SpoBoof,Crissum_SpoBoof,Crown_SpoBoof,DorTail_SpoBoof,Patch10_SpoBoof,Patch11_SpoBoof,Rump_SpoBoof,Throat_SpoBoof,WingTip_SpoBoof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,49.9998333335,183.333333333,177.777833333,125.000333333,80.5553333333,186.111166666,129.16675,169.4445,169.444333333,113.888833333,152.777666667
179.16,38.3333333333,16.6666666667,15.0,35.0,50.0,-23.3333333334,29.1666666666,18.3333333333,18.3333333334,31.6666666667,35.0
179.54,63.0951666667,71.4285,55.9523333333,59.5236666667,34.5238333333,57.1428333333,73.8094166667,59.5238333333,64.2856666667,94.0475000001,69.0475
179.93,-55.5556666666,-33.3333333332,133.333166667,127.777666667,72.2221666667,16.6665,-13.889,16.6665,5.5555,-105.555666667,-5.5556666667
180.31,66.384,60.1695000002,21.1865,18.3616666667,46.0451666666,34.4633333333,63.8420833334,24.5761666666,52.5423333334,92.6554999999,44.0678333334
180.69,59.0686666667,52.9413333331,23.0393333334,10.7845,48.5295,35.5391666667,57.4755,20.098,47.7941666667,88.7255,36.2745
181.07,51.4958333333,54.9145,34.188,11.7518333333,48.0768333333,34.8291666667,62.2861666666,24.1453333333,51.0683333333,93.3760000002,38.2478333333
181.45,51.266,61.6035000002,38.8185,10.7595,45.3586666666,42.6161666667,70.5696666666,25.9495,54.4303333334,102.531666667,38.1856666667
181.83,54.7008333333,62.6066666667,44.4445,15.3843333333,57.265,44.2306666666,71.79475,27.7778333333,55.983,105.555666667,34.829
182.21,51.3745,54.4673333333,49.8281666667,22.5085,59.2781666666,40.8933333334,65.7216666667,30.0686666667,51.3745,93.1271666669,33.1615
182.59,52.9595,48.4425,50.9343333333,21.9623333333,57.944,41.5886666666,62.8505,25.8566666667,45.0156666666,82.0869999998,29.9066666666
182.97,57.9206666666,46.2046666667,47.5248333333,22.9371666666,59.241,45.3793333333,60.2309166667,24.7525,41.9141666667,85.8084999998,23.2671666666
183.35,46.7595,34.4136666666,42.9015,13.8888333334,50.4628333333,37.8085,46.6821666667,15.5863333333,31.173,79.784,18.3643333333
183.73,46.9136666667,40.2776666667,46.9135,13.2716666667,56.9443333334,40.7408333333,50.463,19.2903333333,31.6356666666,82.2531666669,18.5185
184.11,51.8363333333,43.3615,55.0848333333,20.4801666666,59.0396666667,45.6213333333,51.5538333333,26.13,33.192,82.3446666667,26.1301666667
184.49,55.6431666667,47.3753333333,59.055,30.315,61.6796666667,49.2128333333,56.4961666666,32.6773333333,35.5643333333,80.7086666667,28.6091666667
184.87,61.9836666667,54.132,63.6363333334,37.0523333333,62.1213333333,56.0606666667,61.1571666666,38.0165,39.8073333334,84.9863333333,31.6803333333
185.25,69.888,62.465,66.2463333333,46.3583333334,66.5266666667,66.9466666667,60.7841666666,43.8375,44.3976666667,87.535,36.1341666667
185.63,75.641,64.6723333333,65.8118333333,49.1453333333,71.2251666666,69.658,55.1993333333,47.151,45.584,85.47,34.6153333334
186.01,69.9186666667,58.6721666666,58.6721666667,39.431,60.4336666667,63.4146666667,50.6775833334,40.9213333333,38.4823333333,78.1843333333,29.1326666666
186.39,70.0,62.1333333333,58.1333333333,38.9333333333,56.6666666667,67.8666666667,47.6666666667,40.4,38.0,76.4,29.2
186.77,67.0425,61.654,56.2658333334,41.8543333333,52.3811666667,62.7818333334,48.4965,41.8546666667,39.2231666667,75.5638333334,28.0701666667
187.15,66.5501666667,64.6851666666,59.4406666667,47.3193333334,53.4966666667,61.072,50.1166666667,46.0373333333,41.8415,73.1933333333,32.0511666666
