wavelength,Back_LanFulm,Belly_LanFulm,Breast_LanFulm,Crissum_LanFulm,Crown_LanFulm,DorTail_LanFulm,Patch10_LanFulm,Rump_LanFulm,Throat_LanFulm,WingTip_LanFulm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,613.333333333,380.0,320.0,513.333333333,806.666666667,380.0,566.666666667,586.666666667,373.333333333,653.333333333
179.16,533.333333333,166.666666667,333.333333333,186.666666667,653.333333333,373.333333333,433.333333333,673.333333333,166.666666667,520.0
179.54,81.1111333333,48.8888666667,58.8890000001,63.3333999999,89.9998666667,46.6666000001,75.5556,51.111,43.3334,67.7777999999
179.93,45.8333333333,9.16666666668,39.1666666667,28.3333333333,5.0,17.5,31.6666666667,31.6666666667,33.3333333334,36.6666666667
180.31,157.575866667,71.3131999999,134.141333333,128.6868,143.232466667,113.939333333,128.0808,105.2524,118.5858,124.646533333
180.69,194.848466667,60.3030000001,158.181866667,155.151533333,169.090866667,139.696933334,158.787733333,115.757533333,130.909133333,154.2424
181.07,215.294066667,64.3137333333,197.254733333,186.666666667,179.215666667,186.666666666,185.490133333,127.451,158.039066667,172.549066667
181.45,183.636266667,-9.09100000006,198.1818,193.9394,119.394,168.485,152.7272,54.5455333332,155.151466666,121.818266667
181.83,89.2307333334,-54.3590666665,132.820466667,133.3334,37.9487333334,140.0,98.4615333333,12.3076666669,90.7691333333,58.9742666666
182.21,51.6666666667,-35.8333333335,111.25,112.083333333,40.0,139.166666667,85.4166666666,24.1666666667,85.4166666667,48.3333333333
182.59,-74.6666666668,-332.0,106.666666667,144.000000001,-74.6666666667,249.333333333,118.666666667,-116.0,21.3333333333,-21.3333333327
182.97,-27.1795333335,-95.3847333334,78.9744666669,95.3845333332,12.8205999999,134.359,72.8205333334,10.2563333332,46.6666666669,38.4616000001
183.35,-114.444533333,-182.222333333,-1.66666666654,15.5554666667,-71.6667999999,86.6665999999,-12.2222000002,-49.9999333332,-12.2222666665,-28.3334
183.73,-2660.0,-3693.33333333,-1560.0,-1386.66666667,-2513.33333333,-286.666666666,-1680.0,-1906.66666667,-1220.0,-1613.33333333
184.11,790.666666667,934.666666665,540.0,461.333333334,776.0,281.333333333,520.000000001,479.999999999,436.0,533.333333334
184.49,1542.22226667,1775.55553333,1104.44446667,993.333333333,1482.22233333,551.111066665,1055.55553333,900.000066667,1004.44446667,1051.1112
184.87,1384.44453333,1644.4444,828.888933331,864.444466665,1333.33333333,326.6666,875.555533332,620.000066666,664.444533333,831.111066666
185.25,4960.0,6040.0,3373.33333333,3506.66666667,4840.0,2133.33333334,3480.0,2866.66666667,2806.66666667,3273.33333333
185.63,-3886.66666667,-5220.0,-2433.33333333,-2573.33333333,-4013.33333333,-1166.66666667,-2080.0,-1640.0,-1686.66666667,-1973.33333333
186.01,222.353066667,299.607866667,143.137066667,147.451,237.646933333,91.3725333334,119.6078,67.0588,67.4508,104.313733333
186.39,165.833333333,228.0556,108.3334,119.444466667,176.6666,84.1666666665,99.7222,51.3890000001,58.3332666667,75.2778
186.77,209.333333333,289.333333333,139.666666667,149.0,227.333333333,108.333333333,114.333333333,67.0000000001,63.6666666667,98.6666666667
187.15,189.5238,251.6666,156.666733333,161.4286,225.476133333,130.4762,119.999866667,93.0951333333,97.1429333335,126.190533333
187.53,269.333333334,347.333333333,223.666666667,234.0,324.0,187.333333333,175.333333333,134.666666667,128.0,175.0
187.91,924.444466666,1165.55566667,780.000066666,778.888933333,1103.33333333,649.999933333,552.222333333,397.777666667,417.777666666,601.111133334
188.29,-342.380933333,-447.619066667,-269.523866667,-290.952333333,-401.904733333,-210.476333334,-179.999933334,-129.047666667,-128.571333333,-203.809466666
188.67,-245.396866667,-308.571466667,-168.888933333,-195.555466667,-260.952466667,-152.381066667,-121.904866667,-87.9364,-69.5239333331,-133.333333333
189.05,-120.1588,-150.3176,-86.0316000001,-91.1111999999,-122.6986,-76.3492666666,-56.9840666666,-40.1587333334,-33.8096666666,-64.6031333332
189.43,-108.444533333,-129.925933333,-70.8149333332,-75.7037333333,-108.148266667,-59.1110666666,-44.2962666667,-26.5184666666,-19.5554666667,-48.8890666668
189.81,-157.094133333,-185.640933333,-116.752,-122.906066666,-158.632466667,-99.6580666666,-90.7691999999,-70.2563333333,-56.0684000001,-89.7435333333
190.19,-134.583333333,-160.833333333,-98.1943333333,-107.083333333,-130.2778,-81.1109999999,-72.7778000001,-71.3887999999,-53.4722000001,-82.2221333331
190.57,-96.1193999999,-115.024866667,-68.5572666667,-71.8407333333,-91.4427999999,-56.8159333333,-42.3879333333,-54.8258666666,-37.5124,-60.0
190.95,-84.2008666667,-100.273866667,-55.7077333333,-63.379,-79.4520000001,-47.9451333333,-34.7032666667,-48.7671333333,-30.5935333333,-50.6849333333
191.33,-73.3333333334,-91.3157333333,-45.5263333334,-51.2280666667,-66.6666666667,-38.9473333333,-25.5263333333,-39.9122,-22.0176,-33.0700666667
191.71,-62.6159333334,-82.4472666667,-35.0210666667,-40.422,-55.1900666667,-32.7427333333,-15.1898666667,-31.9832,-13.5865333333,-27.4261333333
192.09,-51.4402666667,-72.9217333334,-23.1277333333,-27.1605333333,-44.3621333333,-20.4939333333,-9.21799999998,-28.1480666667,-6.25506666666,-19.5061333333
192.47,-47.4166666667,-67.0000000001,-20.6666666667,-20.9166666667,-41.0833333333,-15.25,-4.50000000001,-25.75,0.91666666666,-17.0
192.85,-50.4888666667,-72.7110666667,-26.0444,-23.7333333333,-47.1999333333,-19.1111333333,-6.93326666668,-31.2888666667,-4.17780000001,-26.5776666667
193.23,-52.1929333333,-72.2806666667,-29.0349333334,-23.3334,-48.6842,-23.3332666667,-10.3509333333,-37.2806666667,-5.78946666667,-33.6842
193.61,-56.4557333333,-77.9746666668,-35.2742666667,-31.5611333333,-52.4894,-32.9956666667,-16.8775333333,-43.9663333333,-15.1056,-40.6752666667
193.99,-42.8472,-60.4860666666,-19.4444,-20.4166,-37.5000666667,-22.0138666667,-11.9444,-34.4444,-7.29153333334,-31.9444
194.37,-52.0567333333,-71.4894000001,-27.6596,-32.3405333333,-50.3546666667,-32.5532,-26.5250666667,-46.4539333333,-15.8155333333,-40.5673333333
194.75,-73.4272666667,-101.126666667,-47.9812666667,-50.6104,-75.6808000001,-47.6995333334,-47.8872666667,-68.2629999999,-25.5398666666,-59.8122
195.13,-88.9946666665,-121.904733333,-66.6666,-65.8199333333,-97.9894666667,-59.5767333333,-61.1640666667,-82.0106000001,-36.7195999999,-73.016
195.51,-76.6170666666,-104.676666667,-51.0447333333,-57.214,-81.9901333334,-49.6516,-48.7563333333,-64.2785999999,-25.8706666666,-64.2785999999
195.89,-102.619066667,-133.452266667,-75.9524,-77.3808666668,-106.7858,-67.143,-73.6905333333,-85.3570666666,-39.9999999999,-82.3808666667
196.27,-128.176,-149.308133333,-92.5785999999,-102.0126,-123.521933333,-82.5157999999,-91.3208666667,-98.3647999999,-51.5722666666,-94.8427999999
196.65,-162.836933333,-193.617066667,-125.815666667,-142.1276,-156.5958,-114.751733333,-124.964533333,-129.3618,-87.9433333335,-125.106533333
197.03,-132.098866667,-150.000066667,-101.234533333,-111.481533333,-130.864133333,-85.6790666667,-100.740733333,-97.2839333333,-65.9258666665,-93.3332
197.40,-164.6378,-184.492733333,-131.739066667,-146.087,-172.1738,-105.0724,-137.681266667,-122.6088,-90.4348666667,-114.492733333
197.78,-148.611066667,-166.6668,-118.472133333,-129.5834,-160.0,-91.6667333332,-127.083266667,-106.25,-76.8055333333,-104.305533333
198.16,-237.058866667,-248.0392,-211.960933333,-202.549066667,-246.470533333,-151.372733333,-200.784266667,-163.9216,-132.1568,-172.353
198.54,-236.666666667,-245.490266667,-223.1372,-198.627466667,-251.372533333,-151.1766,-205.490133333,-156.8628,-137.254933333,-173.3334
